Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Wear_Speed_Ratio,Temp_Diff,Power_Index,Temperature_Stress
2,298.1,308.6,1551,42.8,0,0,0.0,10.5,66382.79999999999,13208.08
1,298.2,308.7,1408,46.3,3,0,0.002130681818181818,10.5,65190.399999999994,14292.81
1,298.1,308.5,1498,49.4,5,0,0.0033377837116154874,10.399999999999977,74001.2,15239.9
1,298.2,308.6,1433,39.5,7,0,0.004884856943475227,10.400000000000034,56603.5,12189.7
1,298.2,308.7,1408,40.0,9,0,0.006392045454545455,10.5,56320.0,12348.0
2,298.1,308.6,1425,41.9,11,0,0.0077192982456140355,10.5,59707.5,12930.34
1,298.1,308.6,1558,42.4,14,0,0.008985879332477536,10.5,66059.2,13084.640000000001
1,298.1,308.6,1527,40.2,16,0,0.010478061558611657,10.5,61385.4,12405.720000000001
2,298.3,308.7,1667,28.6,18,0,0.010797840431913617,10.399999999999977,47676.200000000004,8828.82
2,298.5,309.0,1741,28.0,21,0,0.012062033314187249,10.5,48748.0,8652.0
0,298.4,308.9,1782,23.9,24,0,0.013468013468013467,10.5,42589.799999999996,7382.709999999999
0,298.6,309.1,1423,44.3,29,0,0.020379479971890373,10.5,63038.899999999994,13693.130000000001
2,298.6,309.1,1339,51.1,34,0,0.02539208364451083,10.5,68422.90000000001,15795.010000000002
2,298.6,309.2,1742,30.0,37,0,0.02123995407577497,10.599999999999966,52260.0,9276.0
1,298.6,309.2,2035,19.6,40,0,0.019656019656019656,10.599999999999966,39886.0,6060.320000000001
1,298.6,309.2,1542,48.4,42,0,0.027237354085603113,10.599999999999966,74632.8,14965.279999999999
2,298.6,309.2,1311,46.6,44,0,0.033562166285278416,10.599999999999966,61092.6,14408.72
2,298.7,309.2,1410,45.6,47,0,0.03333333333333333,10.5,64296.0,14099.52
0,298.8,309.2,1306,54.5,50,0,0.03828483920367534,10.399999999999977,71177.0,16851.399999999998
2,298.9,309.3,1632,32.5,55,0,0.03370098039215686,10.400000000000034,53040.0,10052.25
0,298.9,309.3,1375,42.7,58,0,0.04218181818181818,10.400000000000034,58712.50000000001,13207.11
1,298.8,309.3,1450,44.8,63,0,0.043448275862068966,10.5,64959.99999999999,13856.64
2,298.9,309.3,1581,30.7,65,0,0.041113219481340925,10.400000000000034,48536.7,9495.51
1,299.0,309.4,1758,25.7,68,0,0.038680318543799774,10.399999999999977,45180.6,7951.579999999999
2,299.0,309.4,1561,37.3,70,0,0.04484304932735426,10.399999999999977,58225.299999999996,11540.619999999999
1,299.0,309.5,1861,23.3,73,0,0.03922622246104245,10.5,43361.3,7211.35
